"Destination_mun","Total","Walk","Bike","Car","PTransit","Other","Active"
"Barreiro",14746,2392,152,10668,1535,0,2544
"Cascais",178,0,0,178,0,0,0
"Lisboa",5127,2,0,2725,2401,0,2
"Loures",62,0,0,45,17,0,0
"Moita",65792,34781,343,27998,2638,32,35124
"Montijo",1991,20,0,1885,0,86,20
"Odivelas",390,0,0,298,92,0,0
"Oeiras",55,0,0,23,32,0,0
"Palmela",3854,91,0,2736,1026,0,91
"Seixal",1448,0,0,1448,0,0,0
"Sesimbra",821,0,0,821,0,0,0
"Setúbal",2436,0,0,1044,687,703,0
"Sintra",575,0,0,481,94,0,0
"Vila Franca de Xira",474,0,0,474,0,0,0
"Alcochete",8376,18,91,6758,1508,0,109
"Almada",889,0,0,846,43,0,0
"Amadora",545,0,0,545,0,0,0
"Barreiro",1826,0,0,1720,0,106,0
"Cascais",873,0,0,686,187,0,0
"Lisboa",5276,0,24,3481,1761,7,24
"Loures",295,0,0,270,21,4,0
"Mafra",23,0,0,0,23,0,0
"Moita",2697,20,0,2591,0,86,20
"Montijo",68305,24638,930,40435,2224,79,25568
"Odivelas",33,0,0,30,3,0,0
"Oeiras",315,0,0,315,0,0,0
"Palmela",5728,15,9,5384,284,37,24
"Seixal",1029,0,2,1021,0,6,2
"Sesimbra",120,0,0,120,0,0,0
"Setúbal",2692,0,42,2603,47,0,42
"Vila Franca de Xira",184,0,0,184,0,0,0
"Alcochete",441,0,0,441,0,0,0
"Almada",1455,0,0,1064,390,0,0
"Amadora",10602,1192,0,8134,1275,0,1192
"Barreiro",25,0,0,25,0,0,0
"Cascais",3240,0,0,3169,0,71,0
"Lisboa",47756,1873,21,24736,20773,350,1894
"Loures",18702,572,0,16183,1812,136,572
"Mafra",1329,0,0,1301,23,5,0
"Moita",359,0,0,338,21,0,0
"Montijo",30,0,0,30,0,0,0
"Odivelas",148328,64016,210,73338,10624,142,64226
"Oeiras",4445,0,0,3670,685,90,0
"Palmela",189,0,0,183,6,0,0
"Seixal",1115,0,0,801,312,4,0
"Sesimbra",90,0,0,77,13,0,0
"Setúbal",124,0,0,106,16,2,0
"Sintra",9291,305,0,7264,1646,77,305
"Vila Franca de Xira",1656,0,0,1103,553,0,0
"Alcochete",125,0,0,125,0,0,0
"Almada",2222,0,0,1717,452,53,0
"Amadora",15062,878,516,10676,2993,0,1394
"Barreiro",565,0,0,397,168,0,0
"Cascais",34155,1425,52,29358,3304,15,1477
"Lisboa",61811,903,660,44697,15208,343,1563
"Loures",3206,0,0,2329,856,20,0
"Mafra",827,0,0,827,0,0,0
"Moita",90,0,0,58,32,0,0
"Montijo",190,0,0,169,21,0,0
"Odivelas",4404,0,0,3628,687,90,0
"Oeiras",186797,64200,312,110224,11806,254,64512
"Palmela",651,0,0,616,25,10,0
"Seixal",1974,0,0,1442,508,24,0
"Sesimbra",468,0,0,468,0,0,0
"Setúbal",776,0,0,740,37,0,0
"Sintra",23933,602,0,19388,3912,34,602
"Vila Franca de Xira",919,0,0,667,253,0,0
"Alcochete",439,11,0,193,234,0,11
"Almada",619,0,0,602,11,6,0
"Amadora",86,0,0,86,0,0,0
"Barreiro",4564,0,4,3567,993,0,4
"Cascais",337,0,0,337,0,0,0
"Lisboa",5675,0,0,3421,2218,37,0
"Loures",527,0,0,504,23,0,0
"Mafra",64,0,0,64,0,0,0
"Moita",5025,79,0,3334,1611,0,79
"Montijo",5471,0,9,5158,268,37,9
"Odivelas",69,0,0,59,10,0,0
"Oeiras",722,0,0,687,25,10,0
"Palmela",81747,22412,1422,52040,5661,212,23834
"Seixal",3639,0,2,2113,1525,0,2
"Sesimbra",2518,0,0,2124,394,0,0
