"ID"	"AFF"	"AGE"	"SEX"	"MODE"	"lat"	"lon"
33	"Student"	19	"Female"	"PT"	38.7342	-9.156388
326	"Student"	25	"Female"	"Walk"	38.73125	-9.142478
282	"Faculty"	49	"Female"	"Car"	38.7699	-9.10087
872	"Faculty"	54	"Male"	"Walk"	38.74199	-9.137993
1230	"Student"	19	"Male"	"Walk"	38.74181	-9.146561
292	"Faculty"	38	"Male"	"PT"	38.74842	-9.171523
556	"Student"	22	"Female"	"PT"	38.77494	-9.095763
453	"Faculty"	40	"Female"	"Car"	38.75068	-9.172405
715	"Student"	21	"Female"	"PT"	38.71821	-9.160012
518	"Student"	24	"Male"	"PT"	38.76358	-9.151753
1044	"Student"	19	"Male"	"PT"	38.76028	-9.13794
70	"Student"	19	"Female"	"Walk"	38.72217	-9.126246
785	"Faculty"	54	"Male"	"Walk"	38.72126	-9.131662
682	"Faculty"	66	"Male"	"Car"	38.74212	-9.128162
455	"Student"	23	"Female"	"Walk"	38.73498	-9.113543
146	"Student"	21	"Male"	"Walk"	38.73808	-9.131168
953	"Student"	22	"Male"	"Car"	38.7745	-9.170751
1547	"Student"	34	"Male"	"Walk"	38.73642	-9.124761
752	"Student"	23	"Male"	"PT"	38.75708	-9.16792
1171	"Student"	24	"Male"	"Walk"	38.7285	-9.129848
1128	"Student"	21	"Male"	"Walk"	38.71625	-9.13393
1366	"Staff"	45	"Female"	"Car"	38.72176	-9.160079
1184	"Student"	23	"Male"	"Walk"	38.73522	-9.144947
735	"Student"	18	"Male"	"PT"	38.71679	-9.150685
261	"Student"	19	"Female"	"PT"	38.71135	-9.13178
1154	"Student"	21	"Male"	"Walk"	38.74112	-9.133304
139	"Student"	24	"Male"	"PT"	38.728	-9.164023
547	"Student"	19	"Male"	"PT"	38.76328	-9.16637
1777	"Student"	18	"Female"	"PT"	38.71153	-9.212507
1401	"Student"	27	"Female"	"PT"	38.76204	-9.15462
1053	"Staff"	49	"Female"	"Car"	38.74615	-9.1003
403	"Staff"	56	"Male"	"PT"	38.74526	-9.156793
1318	"Faculty"	33	"Male"	"PT"	38.75541	-9.147008
486	"Student"	33	"Male"	"PT"	38.72768	-9.131936
707	"Staff"	26	"Female"	"Walk"	38.73327	-9.131129
